Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
26-Jul-24,Friday,July,Q3,2024,EQ,1825.35,1883.00,1825.35,1824.85,1880.00,1878.90,1871.89,1883.00,1324.25,11369047.00,313143.00
25-Jul-24,Thursday,July,Q3,2024,EQ,1820.00,1830.90,1812.00,1833.95,1826.35,1824.85,1823.35,1844.00,1324.25,5815599.00,126746.00
24-Jul-24,Wednesday,July,Q3,2024,EQ,1837.50,1842.35,1819.60,1836.90,1835.70,1833.95,1830.65,1844.00,1324.25,6002845.00,182691.00
23-Jul-24,Tuesday,July,Q3,2024,EQ,1810.00,1839.95,1783.25,1810.85,1832.90,1836.90,1817.22,1844.00,1324.25,7113056.00,284929.00
22-Jul-24,Monday,July,Q3,2024,EQ,1800.15,1823.00,1792.95,1792.95,1810.00,1810.85,1810.74,1844.00,1324.25,8462126.00,286478.00
19-Jul-24,Friday,July,Q3,2024,EQ,1844.00,1844.00,1786.45,1758.05,1789.35,1792.95,1810.54,1844.00,1305.00,29819116.00,644673.00
18-Jul-24,Thursday,July,Q3,2024,EQ,1719.00,1765.40,1719.00,1726.05,1764.05,1758.05,1747.57,1765.40,1305.00,11248896.00,341763.00
16-Jul-24,Tuesday,July,Q3,2024,EQ,1718.60,1737.90,1700.00,1707.05,1725.10,1726.05,1723.79,1737.90,1305.00,6886281.00,227602.00
15-Jul-24,Monday,July,Q3,2024,EQ,1726.20,1728.00,1702.65,1711.75,1709.00,1707.05,1715.63,1733.00,1305.00,6942230.00,177986.00
12-Jul-24,Friday,July,Q3,2024,EQ,1680.00,1719.75,1666.65,1652.70,1706.35,1711.75,1702.02,1733.00,1305.00,17078316.00,424229.00
11-Jul-24,Thursday,July,Q3,2024,EQ,1656.00,1665.00,1642.05,1648.25,1652.00,1652.70,1654.43,1733.00,1305.00,8857679.00,229626.00
10-Jul-24,Wednesday,July,Q3,2024,EQ,1657.00,1674.00,1637.55,1657.15,1645.00,1648.25,1652.95,1733.00,1305.00,9852770.00,212673.00
09-Jul-24,Tuesday,July,Q3,2024,EQ,1659.90,1666.75,1651.00,1661.65,1656.20,1657.15,1659.82,1733.00,1305.00,5191182.00,180329.00
08-Jul-24,Monday,July,Q3,2024,EQ,1643.10,1666.00,1640.00,1647.45,1660.95,1661.65,1656.59,1733.00,1305.00,5880533.00,180580.00
05-Jul-24,Friday,July,Q3,2024,EQ,1651.45,1665.85,1633.35,1650.65,1641.10,1647.45,1652.13,1733.00,1305.00,7065022.00,197833.00
04-Jul-24,Thursday,July,Q3,2024,EQ,1628.20,1660.00,1628.00,1627.40,1648.95,1650.65,1652.82,1733.00,1305.00,8008311.00,226165.00
03-Jul-24,Wednesday,July,Q3,2024,EQ,1625.00,1636.00,1606.00,1621.05,1629.25,1627.40,1621.60,1733.00,1305.00,7269965.00,157551.00
02-Jul-24,Tuesday,July,Q3,2024,EQ,1596.20,1633.80,1586.50,1590.80,1620.00,1621.05,1618.80,1733.00,1305.00,10493173.00,392727.00
01-Jul-24,Monday,July,Q3,2024,EQ,1559.50,1599.90,1559.50,1566.75,1586.00,1590.80,1588.60,1733.00,1305.00,6801771.00,244645.00
28-Jun-24,Friday,June,Q2,2024,EQ,1572.55,1588.50,1564.25,1573.35,1566.65,1566.75,1573.00,1733.00,1262.25,8197544.00,247411.00
27-Jun-24,Thursday,June,Q2,2024,EQ,1538.45,1578.40,1532.05,1540.70,1571.00,1573.35,1562.84,1733.00,1262.25,14757754.00,335798.00
26-Jun-24,Wednesday,June,Q2,2024,EQ,1541.00,1548.85,1535.00,1541.95,1540.15,1540.70,1541.97,1733.00,1262.25,4851004.00,133969.00
25-Jun-24,Tuesday,June,Q2,2024,EQ,1526.00,1543.90,1520.35,1527.15,1540.00,1541.95,1536.34,1733.00,1262.25,4551525.00,162269.00
24-Jun-24,Monday,June,Q2,2024,EQ,1524.55,1529.10,1515.40,1532.70,1526.00,1527.15,1524.12,1733.00,1262.25,5564989.00,191438.00
21-Jun-24,Friday,June,Q2,2024,EQ,1545.00,1557.75,1523.70,1515.40,1525.10,1532.70,1538.98,1733.00,1262.25,17301941.00,386255.00
20-Jun-24,Thursday,June,Q2,2024,EQ,1516.30,1517.50,1499.10,1511.35,1516.10,1515.40,1510.80,1733.00,1262.25,7927010.00,166148.00
19-Jun-24,Wednesday,June,Q2,2024,EQ,1505.00,1515.65,1496.70,1498.20,1510.25,1511.35,1508.16,1733.00,1262.25,5493456.00,184453.00
18-Jun-24,Tuesday,June,Q2,2024,EQ,1497.00,1507.00,1495.40,1488.90,1499.00,1498.20,1500.33,1733.00,1262.25,5420939.00,193064.00
14-Jun-24,Friday,June,Q2,2024,EQ,1503.70,1503.70,1486.05,1493.95,1488.50,1488.90,1489.97,1733.00,1262.25,4237727.00,161152.00
13-Jun-24,Thursday,June,Q2,2024,EQ,1495.00,1505.00,1489.35,1485.20,1494.00,1493.95,1495.78,1733.00,1262.25,7307565.00,191937.00
12-Jun-24,Wednesday,June,Q2,2024,EQ,1507.00,1508.75,1482.75,1495.75,1486.40,1485.20,1493.28,1733.00,1262.25,9564320.00,208574.00
11-Jun-24,Tuesday,June,Q2,2024,EQ,1500.05,1506.45,1493.95,1499.75,1496.00,1495.75,1500.46,1733.00,1262.25,4853054.00,196731.00
10-Jun-24,Monday,June,Q2,2024,EQ,1525.30,1529.80,1497.30,1533.60,1498.10,1499.75,1504.76,1733.00,1262.25,6810606.00,215749.00
07-Jun-24,Friday,June,Q2,2024,EQ,1481.00,1539.70,1477.25,1472.25,1531.00,1533.60,1523.28,1733.00,1262.25,24075302.00,671586.00
06-Jun-24,Thursday,June,Q2,2024,EQ,1444.95,1474.30,1437.50,1430.10,1473.00,1472.25,1460.72,1733.00,1262.25,12660930.00,427537.00
05-Jun-24,Wednesday,June,Q2,2024,EQ,1400.15,1438.00,1400.15,1393.65,1429.95,1430.10,1422.55,1733.00,1262.25,9233424.00,275273.00
04-Jun-24,Tuesday,June,Q2,2024,EQ,1409.00,1415.00,1358.35,1405.90,1400.05,1393.65,1394.53,1733.00,1262.25,13736134.00,389770.00
03-Jun-24,Monday,June,Q2,2024,EQ,1440.00,1440.00,1404.00,1406.90,1408.30,1405.90,1410.56,1733.00,1262.25,10589244.00,276536.00
31-May-24,Friday,May,Q2,2024,EQ,1409.80,1436.75,1400.00,1427.45,1407.00,1406.90,1414.33,1733.00,1262.25,37113815.00,480522.00
30-May-24,Thursday,May,Q2,2024,EQ,1442.80,1449.85,1421.55,1450.95,1434.95,1427.45,1431.84,1733.00,1262.25,9663150.00,269401.00
29-May-24,Wednesday,May,Q2,2024,EQ,1465.40,1465.50,1450.00,1467.05,1455.00,1450.95,1454.96,1733.00,1262.25,7401634.00,245143.00
28-May-24,Tuesday,May,Q2,2024,EQ,1475.50,1476.00,1460.30,1471.35,1463.00,1467.05,1471.00,1733.00,1262.25,6186922.00,178525.00
27-May-24,Monday,May,Q2,2024,EQ,1471.85,1479.60,1460.25,1465.10,1471.00,1471.35,1470.82,1733.00,1262.25,5821844.00,209335.00
24-May-24,Friday,May,Q2,2024,EQ,1468.25,1475.50,1460.00,1472.40,1462.60,1465.10,1467.29,1733.00,1262.25,5277938.00,173496.00
23-May-24,Thursday,May,Q2,2024,EQ,1454.70,1478.15,1450.00,1454.80,1471.05,1472.40,1469.37,1733.00,1262.25,8641428.00,300489.00
22-May-24,Wednesday,May,Q2,2024,EQ,1428.75,1459.95,1428.00,1434.15,1454.20,1454.80,1450.92,1733.00,1262.25,7173285.00,226692.00
21-May-24,Tuesday,May,Q2,2024,EQ,1430.00,1444.70,1428.40,1443.65,1435.55,1434.15,1435.51,1733.00,1262.25,6752663.00,204780.00
18-May-24,Saturday,May,Q2,2024,EQ,1445.00,1450.00,1442.00,1444.30,1444.30,1443.65,1445.13,1733.00,1242.45,318277.00,13136.00
17-May-24,Friday,May,Q2,2024,EQ,1457.00,1457.00,1439.25,1453.35,1445.00,1444.30,1445.43,1733.00,1242.45,7542860.00,170369.00
16-May-24,Thursday,May,Q2,2024,EQ,1433.95,1455.75,1427.00,1419.95,1450.90,1453.35,1444.18,1733.00,1242.45,9249145.00,254894.00
15-May-24,Wednesday,May,Q2,2024,EQ,1426.00,1431.80,1418.55,1424.70,1420.00,1419.95,1422.38,1733.00,1242.45,4327544.00,186636.00
14-May-24,Tuesday,May,Q2,2024,EQ,1426.40,1433.75,1418.05,1423.45,1425.45,1424.70,1423.77,1733.00,1242.45,3463230.00,137743.00
13-May-24,Monday,May,Q2,2024,EQ,1425.00,1425.00,1411.20,1424.90,1423.75,1423.45,1418.38,1733.00,1242.45,3735954.00,189679.00
10-May-24,Friday,May,Q2,2024,EQ,1435.05,1435.95,1413.00,1439.55,1425.90,1424.90,1421.71,1733.00,1239.05,8777481.00,274606.00
09-May-24,Thursday,May,Q2,2024,EQ,1427.55,1449.95,1424.85,1427.30,1434.15,1439.55,1439.59,1733.00,1239.05,6088406.00,296655.00
08-May-24,Wednesday,May,Q2,2024,EQ,1435.25,1439.75,1425.60,1440.95,1428.00,1427.30,1432.51,1733.00,1239.05,6234983.00,212505.00
07-May-24,Tuesday,May,Q2,2024,EQ,1424.95,1443.35,1415.60,1425.90,1438.00,1440.95,1429.44,1733.00,1239.05,6080661.00,165156.00
06-May-24,Monday,May,Q2,2024,EQ,1420.00,1445.70,1417.10,1416.30,1427.40,1425.90,1433.20,1733.00,1239.05,6445422.00,153619.00
03-May-24,Friday,May,Q2,2024,EQ,1422.10,1424.80,1403.20,1414.45,1415.75,1416.30,1412.37,1733.00,1239.05,8842345.00,275760.00
02-May-24,Thursday,May,Q2,2024,EQ,1413.00,1424.00,1411.85,1420.55,1417.45,1414.45,1417.48,1733.00,1239.05,10076354.00,541169.00
30-Apr-24,Tuesday,April,Q2,2024,EQ,1434.70,1436.55,1417.55,1434.75,1421.75,1420.55,1427.00,1733.00,1239.05,6936588.00,257285.00
29-Apr-24,Monday,April,Q2,2024,EQ,1429.95,1439.80,1428.25,1430.25,1436.00,1434.75,1434.76,1733.00,1239.05,5055957.00,172407.00
26-Apr-24,Friday,April,Q2,2024,EQ,1439.70,1445.40,1427.00,1438.45,1432.00,1430.25,1435.15,1733.00,1215.00,8062444.00,331963.00
25-Apr-24,Thursday,April,Q2,2024,EQ,1420.00,1444.90,1420.00,1430.75,1438.30,1438.45,1436.68,1733.00,1215.00,9089398.00,213914.00
24-Apr-24,Wednesday,April,Q2,2024,EQ,1444.30,1444.30,1427.05,1442.40,1433.55,1430.75,1433.90,1733.00,1215.00,4268213.00,188856.00
23-Apr-24,Tuesday,April,Q2,2024,EQ,1443.00,1446.85,1433.00,1432.75,1439.45,1442.40,1441.38,1733.00,1215.00,4856174.00,155079.00
22-Apr-24,Monday,April,Q2,2024,EQ,1419.90,1436.85,1413.05,1411.25,1434.50,1432.75,1423.20,1733.00,1215.00,5859087.00,194813.00
19-Apr-24,Friday,April,Q2,2024,EQ,1385.00,1426.85,1378.75,1419.25,1411.95,1411.25,1400.77,1733.00,1185.30,20603621.00,491788.00
18-Apr-24,Thursday,April,Q2,2024,EQ,1421.10,1444.70,1407.50,1414.45,1429.50,1419.25,1422.24,1733.00,1185.30,22107945.00,380213.00
16-Apr-24,Tuesday,April,Q2,2024,EQ,1451.00,1455.15,1413.05,1468.15,1415.20,1414.45,1426.60,1733.00,1185.30,16173541.00,498463.00
15-Apr-24,Monday,April,Q2,2024,EQ,1480.00,1491.95,1461.05,1484.75,1467.25,1468.15,1471.43,1733.00,1185.30,8531224.00,279992.00
12-Apr-24,Friday,April,Q2,2024,EQ,1504.00,1506.80,1479.50,1506.80,1484.85,1484.75,1491.90,1733.00,1185.30,12275616.00,329470.00
10-Apr-24,Wednesday,April,Q2,2024,EQ,1500.35,1509.85,1484.55,1494.85,1506.50,1506.80,1500.18,1733.00,1185.30,6744595.00,231665.00
